min,mean,max
25,49.9,116
25,49.4,115
24,48.9,114
23,48.3,113
24,47.8,112
23,47.2,112
24,47.2,111
23,46.8,108
22,46.7,108
22,46.7,109
22,46.2,107
21,46.0,107
21,45.4,106
20,44.8,106
21,44.5,106
20,44.7,106
21,44.2,106
20,43.7,105
21,43.6,104
22,43.8,104
22,43.7,103
22,43.7,101
22,43.4,99
21,42.9,97
22,42.7,96
22,42.7,95
21,42.5,93
21,42.1,92
21,42.1,91
21,42.1,90
22,42.0,89
21,41.5,89
21,41.1,88
21,41.6,87
22,41.1,87
22,41.1,85
22,41.1,85
21,40.5,85
21,40.5,85
20,40.2,84
26,48.0,83
241,280.8,349
241,280.3,347
241,279.9,345
242,280.0,342
241,280.4,341
240,280.3,340
240,280.1,338
239,279.6,338
239,279.0,337
238,278.5,336
238,278.5,336
237,278.0,336
237,278.0,335
236,277.8,335
236,277.4,334
235,277.0,333
235,276.8,333
234,276.4,332
234,275.9,331
234,275.5,330
233,275.3,330
233,274.6,329
233,274.7,329
233,274.3,328
233,274.2,328
233,274.0,326
233,273.7,325
233,273.5,324
233,273.4,322
233,272.9,321
233,272.9,320
233,273.0,319
232,272.6,318
232,272.4,318
231,272.3,318
231,272.2,318
231,271.9,315
230,271.8,314
229,271.5,313
228,271.3,312
228,271.1,310
228,270.6,308
228,270.5,307
228,270.4,307
228,270.4,307
228,270.5,307
227,270.0,306
227,269.9,304
227,269.8,303
227,269.2,301
227,269.1,300
227,269.1,300
228,269.0,299
228,268.9,298
228,268.8,298
228,268.8,298
229,268.6,297
229,268.5,297
229,268.4,296
229,268.5,295
229,268.5,294
229,268.3,293
229,268.2,292
229,268.4,292
229,268.4,292
229,268.4,292
229,268.4,292
229,268.3,292
229,268.3,291
228,268.3,291
228,268.5,291
228,268.5,291
228,268.7,291
228,268.9,291
228,269.0,291
228,269.1,292
228,269.3,292
228,269.4,292
228,269.6,293
228,269.7,293
228,269.9,293
228,269.8,293
228,269.7,292
229,270.0,292
229,270.4,292
229,270.6,293
230,270.6,293
231,270.8,294
230,270.8,294
229,270.8,295
230,271.0,295
230,271.0,294
230,271.3,294
230,271.4,294
230,271.5,294
231,272.1,294
231,272.5,294
231,272.5,294
232,273.0,295
232,273.2,295
231,273.4,295
231,273.7,295
231,274.2,297
232,275.2,300
234,277.6,306
234,279.1,310
234,281.9,314
235,283.8,322
235,286.4,333
235,296.0,394
236,314.2,503
238,351.2,771
238,378.2,943
238,422.7,1012
239,452.5,1134
241,435.0,960
242,394.6666666666667,932
245,440.3333333333333,1023
253,498.3333333333333,1014
282,582.4,1046
280,636.8,1152
279,672.4,1369
279,597.1111111111111,878
286,629.5555555555555,987
302,653.3333333333334,1135
363,683.8888888888889,1220
426,755.8888888888889,1258
440,767.1111111111111,1283
465,786.0,1308
504,824.7777777777778,1300
539,862.4444444444445,1271
538,891.6666666666666,1279
524,912.0,1319
495,918.3333333333334,1303
468,911.1111111111111,1287
530,911.5555555555555,1264
587,898.2222222222222,1237
598,878.8888888888889,1197
573,851.3333333333334,1167
557,822.0,1129
553,795.7777777777778,1090
559,771.2222222222222,1051
568,757.3333333333334,1019
570,755.8888888888889,1018
559,754.8888888888889,1038
541,754.1111111111111,1051
525,742.2222222222222,1012
507,738.5,961
492,710.7,894
467,685.2,896
448,664.6,916
431,648.6,911
416,630.1,887
401,610.9,851
387,596.2,829
376,589.4,846
365,579.0,865
355,560.8,827
344,540.1,773
335,521.0,743
327,507.9,722
321,498.5,703
315,486.4,681
311,473.2,668
305,464.2,659
300,458.1,670
297,447.9,688
294,433.7,678
291,418.2,662
289,405.9,647
292,396.6,632
297,387.6,618
290,377.8,611
285,374.0,609
278,371.7,609
272,365.6,613
272,365.7,634
280,368.6,669
286,365.5,684
278,357.5,676
271,351.2,663
269,347.8,651
268,345.5,639
265,344.1,631
265,348.1,629
272,349.6,630
267,343.0,629
264,337.9,624
266,334.7,621
263,332.1,620
261,329.6,618
260,328.2,615
258,326.4,614
257,326.2,617
255,334.9,627
253,334.3,647
248,330.1,671
243,324.4,675
238,320.7,670
236,317.0,667
233,316.5,664
231,316.2,663
230,315.9,662
228,313.7,662
227,313.2,674
226,313.7,681
225,315.9,683
225,318.3,686
226,317.0,686
227,314.5,684
227,312.2,681
228,309.4,676
229,306.7,669
229,304.6,663
228,302.7,660
226,301.4,660
225,300.3,658
223,298.9,657
222,298.0,655
221,296.5,655
219,294.2,654
223,293.4,653
227,292.8,651
227,292.5,649
225,292.0,647
227,291.0,645
227,289.9,641
227,288.7,638
226,288.7,635
225,290.1,634
224,290.6,631
222,290.4,627
222,292.1,632
220,292.3,636
219,294.2,652
218,296.3,679
219,298.1,702
218,298.5,708
219,299.8,711
220,303.7,721
220,308.8,730
221,312.8,734
222,312.4,735
222,311.7,743
223,315.1,785
223,315.8,793
226,317.0,788
228,315.5,778
230,314.1,767
229,314.4,758
228,313.8,751
227,311.4,737
227,306.1,702
226,298.3,633
225,291.2,568
223,282.5,490
222,274.9,415
220,270.6,367
220,273.0,367
219,273.9,366
218,274.4,372
217,274.9,383
217,276.2,387
216,276.5,388
216,276.3,386
216,275.9,377
215,281.4,375
215,288.3,428
215,288.4,421
214,286.0,394
214,283.3,373
214,280.6,371
214,278.0,368
214,277.3,367
214,276.8,365
211,276.7,363
208,276.2,363
207,275.4,363
214,275.2,362
215,275.4,362
215,275.8,361
213,276.7,361
211,277.3,362
201,276.1,362
205,276.5,363
210,275.1,363
214,274.0,365
203,271.7,373
202,269.7,378
204,270.1,383
206,272.5,385
211,271.6,385
214,269.3,384
216,266.4,383
218,270.5,380
224,275.3,378
216,279.1,413
206,279.3,421
201,277.9,400
200,279.0,396
205,281.0,403
213,284.5,398
231,284.1,387
232,282.4,374
228,281.4,370
226,280.5,367
226,279.4,360
226,280.4,361
227,282.9,363
227,284.6,357
228,285.9,356
229,286.4,350
230,286.5,339
230,287.3,338
230,287.7,347
231,287.4,351
232,287.0,352
231,286.3,348
231,287.6,348
231,288.7,348
232,291.2,353
232,294.2,358
232,295.1,360
232,295.3,361
232,295.0,362
232,295.8,365
232,296.7,367
232,296.8,367
231,297.4,366
230,297.5,364
230,297.2,362
230,297.3,362
230,296.8,362
230,296.4,362
230,295.9,363
230,296.0,368
231,295.5,368
231,295.1,367
231,294.4,367
231,293.8,367
232,293.0,367
232,292.2,367
232,291.2,365
232,290.3,364
232,289.6,363
232,288.7,362
232,287.7,360
232,286.7,359
232,286.0,357
232,284.8,355
233,284.3,355
233,283.9,358
234,283.6,360
235,283.6,362
235,283.5,364
235,282.8,364
236,282.1,360
237,281.4,356
238,281.1,356
239,280.7,355
239,280.1,354
239,279.7,354
240,279.4,352
240,279.0,352
240,278.7,351
240,278.6666666666667,351
55,132.7,225
55,132.4,225
56,132.2,225
56,131.4,224
56,131.2,224
56,130.7,223
57,130.3,223
57,129.5,221
57,129.1,220
57,128.9,220
56,128.4,220
56,127.9,218
56,127.6,218
56,127.3,218
55,127.1,217
55,126.6,217
55,126.2,217
55,125.9,216
55,125.7,216
55,125.3,215
55,125.2,215
55,124.9,215
55,124.6,214
55,124.3,214
54,123.9,213
54,123.5,212
53,123.1,212
53,122.8,212
53,122.7,212
53,122.3,212
52,121.8,209
52,121.6,209
52,121.6,209
52,121.3,208
52,121.3,208
52,121.0,208
52,120.5,208
51,120.1,207
51,120.0,206
51,119.8,206
51,119.6,206
51,119.4,206
50,119.2,206
50,119.0,206
50,118.7,206
50,118.5,206
50,118.4,206
50,118.2,206
49,117.8,206
49,117.6,206
49,117.5,206
49,117.5,206
49,117.2,206
49,117.0,206
48,116.5,206
48,116.2,206
48,116.2,206
47,115.9,206
47,115.7,206
47,115.7,206
47,115.7,206
47,115.5,206
47,115.4,206
47,115.4,208
48,115.3,208
48,115.1,208
48,115.0,208
48,114.8,208
48,114.8,208
48,114.7,208
48,114.6,208
48,114.4,208
48,114.3,207
48,114.0,207
49,114.0,207
49,114.1,207
49,113.7,206
49,113.7,206
49,113.6,206
49,113.4,206
49,113.4,206
50,113.5,206
50,113.4,206
50,113.2,206
50,113.2,206
51,113.2,206
51,113.0,206
52,112.8,206
52,112.7,206
54,112.8,206
56,113.0,206
56,112.9,206
57,113.0,206
57,112.7,206
57,112.8,206
57,112.6,206
58,112.3,206
58,112.2,206
58,112.2,206
58,112.0,206
58,112.0,206
58,112.0,206
58,112.1,206
58,112.0,206
59,112.1,206
59,112.2,206
59,112.7,206
59,112.9,206
61,114.0,206
61,116.3,206
62,119.0,206
62,122.6,206
62,132.0,207
63,150.0,271
64,202.3,627
65,315.5,1320
65,282.4,1013
67,280.5,980
68,295.8,960
70,321.0,987
73,397.5,1015
82,498.9,1107
111,522.4,1034
117,525.9,1000
119,574.8,986
123,625.8,1334
127,664.5,1420
222,720.1,1462
227,827.8,1490
234,852.6,1483
242,904.9,1450
266,914.0,1506
307,931.7,1582
365,970.4,1570
641,1041.9,1559
629,1082.4,1529
630,1078.4,1468
610,1040.6,1428
566,1005.6,1424
514,950.0,1425
485,883.6,1379
504,854.6,1350
549,835.1,1323
543,819.1,1282
506,823.8,1212
475,830.0,1185
454,825.9,1125
451,785.9,1075
434,738.8,1052
390,694.1,1035
349,656.7,1022
340,621.8,1001
310,593.0,988
275,566.2,950
249,542.8,914
231,524.6,875
213,507.3,870
195,490.4,868
170,465.8,842
153,430.5,777
139,393.4,679
128,367.1,628
122,356.8,594
130,354.5,526
134,343.8,501
138,328.6,485
141,312.7,471
139,297.7,445
137,285.8,422
136,272.8,405
134,255.5,372
134,240.1,344
134,226.3,324
127,213.6,308
128,204.4,301
126,199.4,297
123,191.5,293
120,181.5,285
117,177.2,286
107,177.6,320
104,175.7,353
99,176.6,375
94,174.3,372
91,170.9,348
90,169.2,324
88,176.0,317
86,184.2,378
85,182.3,393
84,176.4,399
82,170.8,411
80,170.9,423
78,168.4,415
78,159.4,344
78,151.1,344
81,152.9,342
79,152.1,334
76,152.8,327
72,149.8,326
69,146.7,324
67,142.7,323
63,141.5,328
59,142.8,333
56,140.6,318
54,136.2,292
52,131.8,286
50,130.0,288
48,127.7,290
47,125.0,289
46,123.9,288
47,125.6,304
49,129.6,362
50,127.2,359
49,123.0,341
47,120.2,335
46,118.3,340
45,115.7,342
43,111.8,338
42,107.3,322
41,104.1,310
41,102.4,307
40,101.1,298
39,103.1,290
38,105.6,283
37,113.8,273
36,112.4,249
35,110.4,230
35,109.6,237
34,104.0,229
33,99.2,215
33,96.6,212
32,94.5,211
32,94.7,219
31,95.9,224
31,95.2,218
31,97.0,216
31,99.2,205
31,101.3,203
31,104.7,229
30,105.5,248
30,107.1,259
30,111.2,271
31,118.6,281
33,121.4,285
37,125.5,288
42,127.4,289
44,128.5,298
46,132.0,322
48,135.7,329
51,135.3,326
53,133.6,302
55,133.8,299
63,133.8,289
67,131.4,268
67,129.5,257
68,127.8,248
68,126.8,240
68,126.3,230
66,127.8,234
62,130.9,251
60,130.7,255
57,130.3,258
55,130.3,260
53,129.0,260
52,128.0,258
52,127.1,255
52,125.5,254
54,124.5,255
58,124.2,260
58,124.2,264
57,125.6,265
57,127.9,264
56,128.0,259
55,125.5,255
55,122.8,253
54,122.1,259
54,122.2,263
53,122.4,266
52,122.0,267
51,124.1,273
51,125.1,275
50,123.0,275
50,121.5,275
49,120.9,276
49,119.0,276
48,120.5,277
53,122.4,279
53,123.2,278
54,123.1,278
58,122.7,278
59,121.6,278
56,120.0,278
60,120.2,279
65,124.7,279
65,124.2,279
67,127.0,279
70,127.9,281
73,127.0,281
74,128.0,281
72,135.2,282
70,136.5,282
68,139.2,282
67,140.5,283
66,140.1,279
65,138.3,262
65,142.1,255
65,143.5,250
65,147.3,250
65,152.0,247
65,154.5,247
65,155.5,245
65,159.8,270
64,166.0,325
64,166.4,323
64,165.9,320
64,164.7,314
64,163.4,308
64,162.1,302
64,160.5,294
63,158.9,288
63,158.5,282
63,158.4,281
63,158.1,279
62,157.2,276
62,157.6,275
62,156.5,271
62,155.7,268
62,154.8,264
61,153.6,260
61,152.5,256
61,151.4,251
61,150.2,246
61,149.1,243
60,147.9,240
60,146.8,239
60,146.4,238
60,145.8,236
60,145.1,236
60,144.5,236
60,143.8,236
60,142.9,234
60,141.8,234
60,140.8,232
59,139.7,232
59,139.0,230
59,138.5,230
59,137.7,230
59,136.7,230
58,135.8,229
58,134.9,229
58,133.9,228
58,133.0,228
58,132.0,226
57,131.6,226
57,130.6,225
57,130.3,225
57,129.9,225
57,129.6,225
57,128.8,225
57,128.2,225
56,127.3,225
56,126.6,225
56,125.9,225
56,125.2,225
56,124.3,225
56,123.6,225
55,116.33333333333333,225
206,304.8,461
204,303.0,459
202,301.6,458
201,300.4,457
200,299.4,456
199,298.2,455
199,297.3,454
198,295.9,453
198,294.8,452
197,293.6,452
197,292.9,451
196,291.6,447
195,290.5,443
194,289.1,440
194,288.4,439
194,287.8,438
194,287.3,437
194,286.4,435
194,285.8,434
193,285.2,433
193,284.8,432
193,284.2,430
193,283.5,428
193,283.0,427
193,282.1,426
193,281.6,425
193,280.9,424
193,280.3,423
195,280.0,422
196,279.5,421
197,279.0,419
198,278.8,418
199,278.3,416
200,278.1,414
201,277.6,412
202,277.3,410
203,276.9,409
203,276.6,408
204,276.1,406
205,275.4,403
205,275.1,402
207,275.2,400
208,274.8,398
209,274.5,396
210,274.1,394
211,273.9,392
212,273.6,390
212,273.1,387
213,272.9,385
214,272.7,383
214,272.3,382
214,272.0,380
214,271.6,377
214,271.7,376
213,271.3,374
213,271.1,373
213,271.0,371
213,271.0,371
213,271.0,370
213,271.0,370
213,271.0,368
213,270.8,367
213,270.7,366
213,270.8,365
212,270.6,364
212,270.2,363
212,270.2,362
212,270.1,361
212,270.0,360
212,270.1,360
212,270.2,359
212,270.1,358
212,270.2,357
212,270.3,356
211,270.3,355
211,270.1,354
211,270.1,353
211,269.9,352
211,270.0,352
212,270.1,352
212,270.2,351
212,270.3,350
212,270.2,349
212,270.2,347
212,270.4,346
212,270.3,345
212,270.5,344
212,270.6,343
212,270.7,342
212,270.8,342
212,270.8,342
213,271.1,342
213,271.3,342
213,271.4,342
214,271.8,342
214,271.9,342
214,272.1,342
214,272.3,342
215,272.3,342
215,272.5,342
215,272.6,342
215,272.9,341
215,273.5,341
215,273.6,341
215,274.3,341
215,275.1,341
216,276.3,341
217,276.9,341
218,278.3,341
219,280.1,342
220,282.6,342
223,286.8,343
225,293.8,359
227,306.0,443
229,324.4,561
231,350.9,738
235,318.22222222222223,526
239,374.44444444444446,984
246,307.375,385
255,323.5,411
270,349.125,474
280,475.0,1174
281,553.0,1147
282,570.375,1012
287,668.75,1591
303,643.375,1224
312,595.1428571428571,1180
324,701.25,1284
347,753.625,1356
381,833.375,1392
435,858.0,1400
460,897.375,1386
468,939.4444444444445,1343
469,962.5555555555555,1395
478,1000.0,1413
496,1046.4444444444443,1411
562,1070.111111111111,1391
738,1075.3333333333333,1369
724,1083.625,1367
695,1012.5555555555555,1397
704,986.3333333333334,1445
690,959.2222222222222,1444
700,944.6666666666666,1466
660,948.1111111111111,1447
640,965.5555555555555,1399
637,958.6,1346
638,945.8,1301
635,923.1111111111111,1250
630,883.6666666666666,1199
643,853.3333333333334,1159
606,840.0,1127
568,871.8,1193
529,861.0,1184
494,838.7,1161
464,814.2,1121
435,791.2,1104
410,772.8,1121
387,749.9,1139
374,733.6,1152
354,711.5,1101
338,687.2,1026
329,659.1,960
321,633.7,899
315,611.1,832
313,597.0,817
314,574.7,812
314,552.1,791
313,530.5,773
315,508.6,752
315,489.1,733
307,470.2,691
296,449.5,633
286,431.4,577
281,416.1,551
275,402.5,521
272,389.9,505
273,379.9,499
320,379.0,508
308,380.1,536
299,377.5,554
300,375.1,564
293,372.2,549
285,365.3,529
279,356.3,510
276,349.3,494
275,344.5,480
271,340.4,463
267,340.0,445
262,340.3,445
256,340.7,472
254,338.5,464
251,339.0,454
250,333.0,441
248,327.1,422
245,321.6,411
242,318.1,405
239,316.7,397
237,316.3,389
235,315.2,392
233,312.7,402
233,306.7,409
234,300.4,410
230,295.7,405
226,292.8,399
223,291.4,393
221,290.9,394
224,291.6,397
217,293.1,403
